StockCode,canonical_description,total_units_sold,gross_revenue,number_of_orders,number_of_customers,return_value,net_revenue
21985,PACK OF 12 HEARTS DESIGN TISSUES ,25648.0,9015.56,919.0,493.0,-31.319999999999997,8984.24
21986,PACK OF 12 PINK POLKADOT TISSUES,13528.0,4806.25,469.0,275.0,-6.959999999999999,4799.29
21987,PACK OF 6 SKULL PAPER CUPS,6434.0,3999.11,385.0,209.0,-138.04999999999998,3861.06
21988,PACK OF 6 SKULL PAPER PLATES,7854.0,5847.83,416.0,209.0,-368.64,5479.19
21989,PACK OF 20 SKULL PAPER NAPKINS,8571.0,6811.83,654.0,264.0,-409.44,6402.39
21990,MODERN FLORAL STATIONERY SET,2493.0,4635.78,497.0,170.0,-15.0,4620.78
21991,BOHEMIAN COLLAGE STATIONERY SET,1118.0,1966.07,289.0,109.0,-15.0,1951.07
21992,VINTAGE PAISLEY STATIONERY SET,3423.0,7014.97,656.0,242.0,-17.700000000000003,6997.27
21993,FLORAL FOLK STATIONERY SET,2898.0,5350.19,577.0,208.0,-15.0,5335.19
22003,VINTAGE BLUE VACUUM FLASK 0.5L ,0.0,0.0,0.0,0.0,-67.5,-67.5
22021,BLUE FELT EASTER EGG BASKET,1437.0,2469.91,233.0,161.0,-19.799999999999997,2450.1099999999997
22023,EMPIRE BIRTHDAY CARD,5028.0,2101.18,430.0,177.0,-5.04,2096.14
22024,RAINY LADIES BIRTHDAY CARD,5454.0,2284.75,439.0,170.0,-15.120000000000001,2269.63
22025,RING OF ROSES BIRTHDAY CARD,3987.0,1650.93,288.0,148.0,-5.04,1645.89
22026,BANQUET BIRTHDAY  CARD  ,4054.0,1728.4,366.0,140.0,-5.04,1723.3600000000001
22027,TEA PARTY BIRTHDAY CARD,11387.0,4846.87,845.0,335.0,-87.12,4759.75
22028,PENNY FARTHING BIRTHDAY CARD,6384.0,2683.65,507.0,203.0,-10.08,2673.57
22029,SPACEBOY BIRTHDAY CARD,17799.0,7365.65,1101.0,429.0,-25.2,7340.45
22030,SWALLOWS GREETING CARD,12867.0,5253.28,685.0,353.0,-50.4,5202.88
22031,BOTANICAL LAVENDER BIRTHDAY CARD,1137.0,499.03000000000003,142.0,65.0,-5.04,493.99
22032,BOTANICAL LILY GREETING CARD,980.0,418.12,111.0,64.0,0.0,418.12
22033,BOTANICAL ROSE GREETING CARD,1603.0,681.93,128.0,80.0,0.0,681.93
22034,ROBIN CHRISTMAS CARD,1620.0,674.75,94.0,71.0,-10.08,664.67
22035,VINTAGE CARAVAN GREETING CARD ,4097.0,1737.98,360.0,152.0,-20.580000000000002,1717.4
22036,DINOSAUR BIRTHDAY CARD,1649.0,695.11,135.0,77.0,-27.3,667.8100000000001
22037,ROBOT BIRTHDAY CARD,7144.0,3076.08,634.0,270.0,-5.04,3071.04
22038,BOTANICAL LAVENDER GIFT WRAP ,1150.0,481.0,45.0,43.0,0.0,481.0
22039,BOTANICAL LILY GIFT WRAP,850.0,353.0,30.0,27.0,-10.5,342.5
22040,BOTANICAL ROSE GIFT WRAP,2815.0,1144.3,94.0,82.0,0.0,1144.3
22041,"RECORD FRAME 7"" SINGLE SIZE ",7861.0,19371.46,555.0,101.0,-103.94999999999999,19267.51
22042,CHRISTMAS CARD SINGING ANGEL,1805.0,655.52,128.0,89.0,-10.08,645.4399999999999
22043,CHRISTMAS CARD SCREEN PRINT ,2222.0,629.88,125.0,86.0,-5.04,624.84
22044,CHRISTMAS CARD STACK OF PRESENTS,2000.0,575.48,89.0,80.0,-5.46,570.02
22045,SPACEBOY GIFT WRAP,14642.0,6023.64,473.0,290.0,-44.1,5979.54
22046,TEA PARTY  WRAPPING PAPER ,6375.0,2613.5,208.0,147.0,-14.28,2599.22
22047,EMPIRE GIFT WRAP,8250.0,3351.0,261.0,211.0,-89.0,3262.0
22048,BIRTHDAY BANQUET GIFT WRAP,2840.0,1176.8,102.0,93.0,-10.5,1166.3
22049,WRAP CHRISTMAS SCREEN PRINT,3575.0,1047.25,114.0,95.0,-21.0,1026.25
22050,PINK PAISLEY ROSE GIFT WRAP,3325.0,1364.5,115.0,100.0,-21.0,1343.5
22051,BLUE SCANDINAVIAN PAISLEY WRAP,3200.0,1328.0,116.0,95.0,0.0,1328.0
22052,VINTAGE CARAVAN GIFT WRAP,3600.0,1492.0,128.0,105.0,-21.0,1471.0
22053,EMPIRE DESIGN ROSETTE,4551.0,4020.8899999999994,87.0,61.0,-2.5,4018.3899999999994
22054,MINI CAKE STAND HANGING HEARTS,361.0,655.01,74.0,45.0,-23.099999999999998,631.91
22055,MINI CAKE STAND  HANGING STRAWBERY,4925.0,8179.19,724.0,252.0,-82.94999999999999,8096.24
22056,CERAMIC PLATE LOVE HEART DESIGN,607.0,656.87,34.0,23.0,-1.49,655.38
22057,CERAMIC PLATE STRAWBERRY DESIGN,3076.0,4035.57,260.0,113.0,-122.17999999999999,3913.3900000000003
22058,CERAMIC LOVE HEARTS DESIGN MUG,520.0,795.72,103.0,71.0,-11.92,783.8000000000001
22059,CERAMIC STRAWBERRY DESIGN MUG,5050.0,6798.889999999999,458.0,183.0,-96.85,6702.039999999999
22060,LARGE CAKE STAND HANGING HEARTS,735.0,5711.3099999999995,158.0,112.0,-186.7,5524.61
22061,LARGE CAKE STAND  HANGING STRAWBERY,2185.0,19260.67,520.0,219.0,-1068.85,18191.82
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,761.0,1248.15,126.0,68.0,-7.93,1240.22
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,2315.0,6391.46,356.0,142.0,-46.8,6344.66
22064,PINK DOUGHNUT TRINKET POT ,6678.0,10737.109999999999,693.0,213.0,-221.24999999999997,10515.859999999999
22065,CHRISTMAS PUDDING TRINKET POT ,8738.0,6457.96,456.0,249.0,-56.019999999999996,6401.94
22066,LOVE HEART TRINKET POT,3435.0,2729.16,273.0,185.0,-10.65,2718.5099999999998
22067,CHOC TRUFFLE GOLD TRINKET POT ,1887.0,3075.5399999999995,252.0,108.0,-32.199999999999996,3043.3399999999997
22068,BLACK PIRATE TREASURE CHEST,1124.0,2015.86,276.0,111.0,-23.099999999999998,1992.76
22069,BROWN  PIRATE TREASURE CHEST ,984.0,2221.7799999999997,267.0,66.0,0.0,2221.7799999999997
22070,SMALL RED RETROSPOT MUG IN BOX ,1848.0,5750.24,320.0,217.0,-474.79,5275.45
22071,SMALL WHITE RETROSPOT MUG IN BOX ,1546.0,4419.75,256.0,200.0,-248.75,4171.0
22072,RED RETROSPOT TEA CUP AND SAUCER ,2463.0,9448.51,511.0,200.0,-187.5,9261.01
22073,RED RETROSPOT STORAGE JAR,2160.0,8587.13,474.0,227.0,-171.78,8415.349999999999
22074,6 RIBBONS SHIMMERING PINKS ,2161.0,2224.5899999999997,287.0,127.0,-19.799999999999997,2204.7899999999995
22075,6 RIBBONS ELEGANT CHRISTMAS ,3355.0,5105.33,358.0,201.0,-19.799999999999997,5085.53
22076,6 RIBBONS EMPIRE  ,2376.0,3535.8299999999995,375.0,197.0,0.0,3535.8299999999995
22077,6 RIBBONS RUSTIC CHARM,17526.0,32142.039999999997,1751.0,685.0,-202.95,31939.089999999997
22078,RIBBON REEL LACE DESIGN ,4015.0,8519.26,480.0,246.0,-79.8,8439.460000000001
22079,RIBBON REEL HEARTS DESIGN ,5054.0,8510.14,684.0,397.0,-100.65,8409.49
22080,RIBBON REEL SPOTS DESIGN ,3947.0,6619.13,519.0,336.0,-67.65,6551.4800000000005
22081,RIBBON REEL FLORA + FAUNA ,1573.0,2805.5099999999998,302.0,170.0,-67.65,2737.8599999999997
22082,RIBBON REEL STRIPES DESIGN ,7427.0,12504.77,957.0,512.0,-51.15,12453.62
22083,PAPER CHAIN KIT RETROSPOT,13961.0,41256.41,1401.0,589.0,-1400.55,39855.86
22084,PAPER CHAIN KIT EMPIRE,8870.0,25453.83,811.0,464.0,-299.45,25154.38
22085,PAPER CHAIN KIT SKULLS ,2545.0,6904.52,230.0,141.0,-1501.75,5402.77
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36534.0,123002.89,2018.0,896.0,-1479.4,121523.49
22087,PAPER BUNTING WHITE LACE,8513.0,25507.120000000003,847.0,314.0,-465.40000000000003,25041.72
22088,PAPER BUNTING COLOURED LACE,4407.0,13103.44,619.0,266.0,-198.04999999999998,12905.390000000001
22089,PAPER BUNTING VINTAGE PAISLEY,3514.0,10329.91,552.0,290.0,-173.89999999999998,10156.01
22090,PAPER BUNTING RETROSPOT,16798.0,50723.600000000006,1703.0,631.0,-1290.1499999999999,49433.450000000004
22091,EMPIRE TISSUE BOX,3191.0,2508.42,324.0,184.0,-68.75,2439.67
22092,BLUE PAISLEY TISSUE BOX,959.0,625.41,140.0,105.0,0.0,625.41
22093,MOTORING TISSUE BOX,2367.0,1457.38,275.0,179.0,-53.160000000000004,1404.22
22094,RED RETROSPOT TISSUE BOX,3592.0,2695.32,339.0,181.0,-73.72,2621.6000000000004
22095,LADS ONLY TISSUE BOX,3368.0,3628.17,284.0,125.0,-119.88000000000001,3508.29
22096,PINK PAISLEY SQUARE TISSUE BOX ,1671.0,946.38,180.0,129.0,-17.34,929.04
22097,SWALLOW SQUARE TISSUE BOX,2081.0,1304.26,242.0,158.0,-15.15,1289.11
22098,BOUDOIR SQUARE TISSUE BOX,2894.0,1998.37,309.0,161.0,-35.11,1963.26
22099,CARAVAN SQUARE TISSUE BOX,2144.0,1614.23,291.0,168.0,-30.0,1584.23
22100,SKULLS SQUARE TISSUE BOX,1016.0,729.55,127.0,71.0,0.0,729.55
22101,MIRROR MOSAIC VOTIVE HOLDER,1934.0,2847.28,116.0,44.0,-128.46,2718.82
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1842.0,1191.69,59.0,35.0,-282.45,909.24
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1746.0,1760.6399999999999,71.0,43.0,-203.31,1557.33
22104,MIRROR MOSAIC CANDLE PLATE,1191.0,974.7199999999999,99.0,31.0,0.0,974.7199999999999
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,693.0,1298.91,55.0,23.0,-232.25,1066.66
22106,MIRROR MOSAIC HURRICANE LAMP ,515.0,1620.34,79.0,29.0,-156.75,1463.59
22107,PIZZA PLATE IN BOX,1276.0,5037.51,369.0,118.0,-330.71000000000004,4706.8
22108,PING! MICROWAVE PLATE,320.0,1002.26,128.0,34.0,-15.0,987.26
22109,FULL ENGLISH BREAKFAST PLATE,3431.0,14197.68,642.0,205.0,-271.26,13926.42
22110,BIRD HOUSE HOT WATER BOTTLE,2726.0,9206.87,512.0,217.0,-10.2,9196.67
22111,SCOTTIE DOG HOT WATER BOTTLE,10163.0,51936.86,1689.0,717.0,-936.65,51000.21
22112,CHOCOLATE HOT WATER BOTTLE,11532.0,60644.32,1721.0,631.0,-687.48,59956.84
22113,GREY HEART HOT WATER BOTTLE,6020.0,23031.27,996.0,488.0,-121.8,22909.47
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12420.0,63362.350000000006,1583.0,626.0,-795.2,62567.15000000001
22115,METAL SIGN EMPIRE TEA,2910.0,5777.77,500.0,244.0,-2.95,5774.820000000001
22116,METAL SIGN HIS DINNER IS SERVED,835.0,1145.2,198.0,96.0,-27.900000000000002,1117.3
22117,METAL SIGN HER DINNER IS SERVED ,1769.0,5222.49,230.0,142.0,-2.95,5219.54
22118,JOY WOODEN BLOCK LETTERS,816.0,3953.9,271.0,195.0,-9.9,3944.0
22119,PEACE WOODEN BLOCK LETTERS,924.0,5738.47,340.0,244.0,-41.7,5696.77
22120,WELCOME  WOODEN BLOCK LETTERS,1026.0,10404.22,367.0,196.0,-187.6,10216.619999999999
22121,NOEL WOODEN BLOCK LETTERS ,1529.0,9482.730000000001,438.0,303.0,-47.6,9435.130000000001
22122,SET OF 2 FANCY FONT TEA TOWELS,1095.0,3290.0800000000004,191.0,113.0,0.0,3290.0800000000004
22123,PING MICROWAVE APRON,660.0,1729.0,166.0,77.0,-142.8,1586.2
22124,SET OF 2 TEA TOWELS PING MICROWAVE,302.0,761.97,132.0,29.0,0.0,761.97
22125,UNION JACK HOT WATER BOTTLE ,653.0,4089.09,183.0,117.0,-314.85,3774.2400000000002
22127,PARTY CONES CARNIVAL ASSORTED,3492.0,4183.11,155.0,128.0,-122.31,4060.7999999999997
22128,PARTY CONES CANDY ASSORTED,4007.0,4864.59,195.0,143.0,-70.0,4794.59
22129,PARTY CONES CANDY TREE DECORATION,3252.0,3100.22,174.0,97.0,-15.299999999999999,3084.9199999999996
22130,PARTY CONE CHRISTMAS DECORATION ,9918.0,11244.119999999999,424.0,298.0,-240.38,11003.74
22131,FOOD CONTAINER SET 3 LOVE HEART ,5304.0,10045.14,692.0,276.0,-29.099999999999998,10016.039999999999
22132,RED LOVE HEART SHAPE CUP,3357.0,3008.1099999999997,388.0,154.0,-10.2,2997.91
22133,PINK LOVE HEART SHAPE CUP,2508.0,2304.11,327.0,109.0,-10.2,2293.9100000000003
22134,MINI LADLE LOVE HEART RED ,2373.0,1057.1499999999999,298.0,80.0,-5.04,1052.11
22135,MINI LADLE LOVE HEART PINK,1661.0,829.43,317.0,58.0,-10.08,819.3499999999999
22136,LOVE HEART SOCK HANGER,1995.0,3340.6699999999996,265.0,117.0,-4.55,3336.1199999999994
22137,BATHROOM SET LOVE HEART DESIGN,607.0,1511.23,43.0,24.0,-8.850000000000001,1502.38
22138,BAKING SET 9 PIECE RETROSPOT ,9366.0,45882.01,1914.0,1137.0,-4072.75,41809.26
22139,RETROSPOT TEA SET CERAMIC 11 PC ,10649.0,53085.61,2093.0,941.0,-2074.0,51011.61
22141,CHRISTMAS CRAFT TREE TOP ANGEL,3785.0,9235.810000000001,572.0,313.0,-50.400000000000006,9185.410000000002
22142,CHRISTMAS CRAFT WHITE FAIRY ,4406.0,6618.19,503.0,336.0,-26.1,6592.089999999999
22143,CHRISTMAS CRAFT HEART DECORATIONS,446.0,942.8800000000001,70.0,51.0,-25.200000000000003,917.6800000000001
22144,CHRISTMAS CRAFT LITTLE FRIENDS,5368.0,12994.69,704.0,392.0,-98.7,12895.99
22145,CHRISTMAS CRAFT HEART STOCKING ,1336.0,2815.6600000000003,197.0,153.0,-12.600000000000001,2803.0600000000004
22146,EASTER CRAFT IVY WREATH WITH CHICK,1413.0,2633.13,107.0,93.0,-77.7,2555.4300000000003
22147,FELTCRAFT BUTTERFLY HEARTS,13129.0,18358.85,1132.0,582.0,-1142.8000000000002,17216.05
22148,EASTER CRAFT 4 CHICKS ,3237.0,6480.29,299.0,209.0,-101.39999999999999,6378.89
22149,FELTCRAFT 6 FLOWER FRIENDS,12888.0,26783.86,1382.0,684.0,-1244.4,25539.46
22150,3 STRIPEY MICE FELTCRAFT,7948.0,14800.449999999999,938.0,505.0,-1264.8,13535.65
22151,PLACE SETTING WHITE HEART,27749.0,11692.69,716.0,361.0,-332.46,11360.230000000001
22152,PLACE SETTING WHITE STAR,6331.0,2687.52,241.0,154.0,-4.62,2682.9
22153,ANGEL DECORATION STARS ON DRESS,5793.0,2512.57,283.0,136.0,-69.72,2442.8500000000004
22154,ANGEL DECORATION 3 BUTTONS ,7881.0,3396.63,317.0,163.0,-85.67999999999999,3310.9500000000003
22155,STAR DECORATION RUSTIC,6226.0,2810.7,340.0,165.0,-22.26,2788.4399999999996
22156,HEART DECORATION WITH PEARLS ,6237.0,5611.28,581.0,259.0,-184.26,5427.0199999999995
22157,ANGEL DECORATION WITH LACE PADDED,1725.0,1474.35,124.0,88.0,-81.6,1392.75
22158,3 HEARTS HANGING DECORATION RUSTIC,9341.0,30197.280000000002,718.0,374.0,-242.85000000000002,29954.430000000004
22161,HEART DECORATION RUSTIC HANGING ,6837.0,2824.3500000000004,489.0,156.0,-28.880000000000003,2795.4700000000003
22162,HEART GARLAND RUSTIC PADDED,1258.0,3868.61,260.0,92.0,-35.400000000000006,3833.21
22163,HEART STRING MEMO HOLDER HANGING,1287.0,2291.9100000000003,197.0,86.0,-179.05000000000004,2112.86
22164,STRING OF STARS CARD HOLDER,322.0,906.8300000000002,49.0,40.0,-2.95,903.8800000000001
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",991.0,7844.22,272.0,82.0,-89.25,7754.97
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,453.0,3697.54,159.0,31.0,-63.6,3633.94
22167, OVAL WALL MIRROR DIAMANTE ,696.0,6144.36,303.0,92.0,-248.74999999999997,5895.61
22168,ORGANISER WOOD ANTIQUE WHITE ,671.0,5577.93,312.0,250.0,-424.15,5153.780000000001
22169,FAMILY ALBUM WHITE PICTURE FRAME,2323.0,19930.8,701.0,276.0,-765.85,19164.95
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2406.0,15800.66,575.0,279.0,-581.9,15218.76
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,3181.0,24081.66,661.0,269.0,-1212.1,22869.56
22172,METAL SHELF WITH RAIL ,378.0,3451.82,185.0,124.0,-34.0,3417.82
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,5137.0,15768.95,997.0,383.0,-399.71999999999997,15369.230000000001
22174,PHOTO CUBE,5423.0,10993.4,557.0,178.0,-79.19999999999999,10914.199999999999
22175,PINK OWL SOFT TOY,1845.0,5358.02,363.0,161.0,-26.550000000000004,5331.47
22176,BLUE OWL SOFT TOY,1199.0,3592.9000000000005,258.0,125.0,-26.550000000000004,3566.3500000000004
22177,5 HOOK BLACKBOARD ORGANISER ,325.0,3101.46,125.0,90.0,-227.0,2874.46
22178,VICTORIAN GLASS HANGING T-LIGHT,40572.0,53105.59,1816.0,593.0,-1265.44,51840.149999999994
22179,SET 10 LIGHTS NIGHT OWL,2093.0,14953.75,566.0,201.0,-217.85,14735.9
22180,RETROSPOT LAMP,1004.0,10403.21,410.0,226.0,-493.15,9910.06
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,1567.0,1317.6499999999999,138.0,85.0,-35.699999999999996,1281.9499999999998
22182,CAKE STAND VICTORIAN FILIGREE SMALL,569.0,2190.13,172.0,58.0,-19.8,2170.33
22183,CAKE STAND VICTORIAN FILIGREE MED,613.0,3465.2200000000003,209.0,58.0,-56.2,3409.0200000000004
22184,CAKE STAND VICTORIAN FILIGREE LARGE,401.0,2988.71,146.0,60.0,-143.3,2845.41
22185,SLATE TILE NATURAL HANGING,3922.0,6269.329999999999,462.0,298.0,-6.6,6262.729999999999
22186,RED STAR CARD HOLDER,2040.0,5570.16,345.0,234.0,-304.7,5265.46
22187,GREEN CHRISTMAS TREE CARD HOLDER,2158.0,7113.5,364.0,230.0,-195.7,6917.8
22188,BLACK HEART CARD HOLDER,12483.0,33197.05,566.0,292.0,-19.75,33177.3
22189,CREAM HEART CARD HOLDER,18350.0,54547.380000000005,1299.0,536.0,-168.73000000000002,54378.65
22190,LOCAL CAFE MUG,1428.0,2660.31,242.0,88.0,-2.1,2658.21
22191,IVORY DINER WALL CLOCK,1995.0,16454.05,620.0,335.0,-2703.8500000000004,13750.199999999999
22192,BLUE DINER WALL CLOCK,1444.0,12274.76,543.0,260.0,-269.45000000000005,12005.31
22193,RED DINER WALL CLOCK,1931.0,16296.480000000001,617.0,265.0,-336.6,15959.880000000001
22194,BLACK DINER WALL CLOCK,377.0,3246.1,160.0,100.0,-51.0,3195.1
22195,LARGE HEART MEASURING SPOONS,5269.0,9440.099999999999,811.0,325.0,-28.349999999999998,9411.749999999998
22196,SMALL HEART MEASURING SPOONS,6713.0,6270.2,981.0,304.0,-56.44,6213.76
22197,SMALL POPCORN HOLDER,89860.0,80888.34,2322.0,601.0,-620.57,80267.76999999999
22198,LARGE POPCORN HOLDER ,7793.0,13580.83,646.0,240.0,-350.2,13230.63
22199,FRYING PAN RED RETROSPOT,1861.0,7638.17,405.0,158.0,-1066.75,6571.42
22200,FRYING PAN PINK POLKADOT,1317.0,5882.61,357.0,120.0,-44.25,5838.36
22201,FRYING PAN BLUE POLKADOT,510.0,2042.8700000000001,166.0,76.0,-8.5,2034.3700000000001
22202,MILK PAN PINK RETROSPOT,1090.0,4400.12,264.0,91.0,-116.25,4283.87
22203,MILK PAN RED RETROSPOT,1415.0,5533.74,392.0,166.0,-56.25,5477.49
22204,MILK PAN BLUE POLKADOT,537.0,1974.29,169.0,66.0,-52.5,1921.79
22206,"MUG , DOTCOMGIFTSHOP.COM ",14.0,11.82,10.0,0.0,0.0,11.82
22207,FRYING PAN UNION FLAG,3185.0,13715.91,480.0,189.0,-324.75,13391.16
22208,WOOD STAMP SET THANK YOU,2396.0,3103.5499999999997,433.0,237.0,-31.409999999999997,3072.14
22209,WOOD STAMP SET HAPPY BIRTHDAY,1428.0,1777.1,257.0,159.0,-36.36,1740.74
22210,WOOD STAMP SET BEST WISHES,1615.0,1949.6899999999998,287.0,179.0,-24.749999999999996,1924.9399999999998
22211,WOOD STAMP SET FLOWERS,1535.0,2028.9499999999998,291.0,161.0,-71.25,1957.6999999999998
22212,FOUR HOOK  WHITE LOVEBIRDS,4100.0,8839.880000000001,828.0,323.0,-84.0,8755.880000000001
22214,CANDLE PLATE LACE WHITE,549.0,1279.79,92.0,43.0,0.0,1279.79
22215,CAKE STAND WHITE TWO TIER LACE,1092.0,8869.43,359.0,245.0,-510.0,8359.43
22216,T-LIGHT HOLDER WHITE LACE,1406.0,1232.43,116.0,48.0,-2.55,1229.88
22217,T-LIGHT HOLDER HANGING LACE,2390.0,2839.85,214.0,152.0,-70.0,2769.85
22218,CAKE STAND LACE WHITE,1232.0,5365.66,264.0,143.0,-250.75,5114.91
22219,LOVEBIRD HANGING DECORATION WHITE ,9906.0,9403.859999999999,1149.0,384.0,-93.89,9309.97
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,746.0,6895.389999999999,270.0,190.0,-495.65,6399.74
22221,CAKE STAND LOVEBIRD 2 TIER PINK,906.0,6722.71,156.0,108.0,-119.39999999999999,6603.31
22222,CAKE PLATE LOVEBIRD WHITE,1498.0,6205.39,403.0,203.0,-24.75,6180.64
22223,CAKE PLATE LOVEBIRD PINK,727.0,3369.83,175.0,89.0,-4.95,3364.88
22224,WHITE LOVEBIRD LANTERN,2403.0,7634.200000000001,401.0,234.0,-64.9,7569.300000000001
22227,HANGING HEART MIRROR DECORATION ,6136.0,4427.110000000001,643.0,195.0,-21.450000000000003,4405.660000000001
22228,BUNNY WOODEN PAINTED WITH BIRD ,1727.0,1456.6,275.0,148.0,-29.749999999999996,1426.85
22229,BUNNY WOODEN PAINTED WITH FLOWER ,1007.0,845.3,185.0,101.0,-44.199999999999996,801.0999999999999
22230,JIGSAW TREE WITH WATERING CAN,1657.0,1134.6399999999999,193.0,96.0,-48.379999999999995,1086.2599999999998
22231,JIGSAW TREE WITH BIRDHOUSE,2163.0,2753.08,297.0,166.0,-150.15,2602.93
22232,JIGSAW TOADSTOOLS 3 PIECE,1109.0,1318.99,158.0,96.0,-71.22,1247.77
22233,JIGSAW RABBIT AND BIRDHOUSE,952.0,1215.06,164.0,112.0,-121.03999999999999,1094.02
22236,CAKE STAND 3 TIER MAGIC GARDEN,1140.0,14109.669999999998,421.0,251.0,-1121.25,12988.419999999998
22241,GARLAND WOODEN HAPPY EASTER,4351.0,5864.92,474.0,242.0,-22.31,5842.61
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",4812.0,7657.44,368.0,186.0,-102.29999999999998,7555.139999999999
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,7731.0,11949.409999999998,388.0,181.0,-141.89999999999998,11807.509999999998
22244,3 HOOK HANGER MAGIC GARDEN,4814.0,9220.82,431.0,169.0,-124.8,9096.02
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",4697.0,4046.49,413.0,166.0,-28.05,4018.4399999999996
22246,MAGIC GARDEN FELT GARLAND ,1111.0,2387.13,188.0,84.0,-23.4,2363.73
22247,BUNNY DECORATION MAGIC GARDEN,1184.0,1022.79,182.0,86.0,-0.75,1022.04
22248,DECORATION  PINK CHICK MAGIC GARDEN,1014.0,903.16,173.0,77.0,-17.85,885.31
22249,DECORATION WHITE CHICK MAGIC GARDEN,1636.0,1434.6599999999999,243.0,126.0,-3.4,1431.2599999999998
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,1524.0,1387.94,257.0,98.0,-3.4,1384.54
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1884.0,2335.15,298.0,141.0,-35.0,2300.15
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,968.0,1190.56,113.0,85.0,-16.25,1174.31
22253,6 CROCHET STRAWBERRIES,964.0,1158.28,86.0,62.0,0.0,1158.28
22254,FELT TOADSTOOL LARGE,1410.0,1807.21,148.0,95.0,-90.0,1717.21
22255,FELT TOADSTOOL  SMALL,1216.0,1155.08,142.0,73.0,-38.25,1116.83
22256,FELT FARM ANIMAL CHICKEN,937.0,1206.33,119.0,78.0,-15.0,1191.33
22257,FELT FARM ANIMAL SHEEP,419.0,345.47999999999996,57.0,23.0,-15.0,330.47999999999996
22258,FELT FARM ANIMAL RABBIT,1342.0,1291.05,131.0,69.0,-68.75,1222.3
22259,FELT FARM ANIMAL HEN,590.0,482.95,72.0,31.0,-3.75,479.2
22260,FELT EGG COSY BLUE RABBIT ,1571.0,1613.9599999999998,241.0,85.0,-13.6,1600.36
22261,FELT EGG COSY WHITE RABBIT ,2112.0,2035.1599999999999,243.0,126.0,-3.4,2031.7599999999998
22262,FELT EGG COSY CHICKEN,2045.0,1975.31,306.0,135.0,-14.45,1960.86
22263,FELT EGG COSY LADYBIRD ,836.0,627.38,105.0,34.0,-32.34,595.04
22264,FELT FARM ANIMAL WHITE BUNNY ,2027.0,1164.08,168.0,80.0,0.0,1164.08
22265,EASTER DECORATION NATURAL CHICK,1847.0,1211.66,168.0,107.0,0.0,1211.66
22266,EASTER DECORATION HANGING BUNNY,2542.0,1040.1100000000001,161.0,101.0,-4.550000000000001,1035.5600000000002
22267,EASTER DECORATION EGG BUNNY ,1472.0,1291.47,117.0,91.0,-3.75,1287.72
22268,EASTER DECORATION SITTING BUNNY,2554.0,1271.29,236.0,117.0,-19.310000000000002,1251.98
22269,EGG CUP NATURAL CHICKEN,1522.0,1360.21,204.0,107.0,-31.25,1328.96
22270,HAPPY EASTER HANGING DECORATION,685.0,2638.67,153.0,104.0,-96.78,2541.89
22271,FELTCRAFT DOLL ROSIE,4945.0,14156.300000000001,787.0,400.0,-839.2,13317.1
22272,FELTCRAFT DOLL MARIA,1396.0,3928.01,300.0,207.0,-2.95,3925.0600000000004
22273,FELTCRAFT DOLL MOLLY,7398.0,20301.52,810.0,423.0,-3571.6499999999996,16729.870000000003
22274,FELTCRAFT DOLL EMILY,3818.0,10926.5,656.0,344.0,-199.1,10727.4
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1015.0,8403.18,313.0,168.0,-42.5,8360.68
22276,WASH BAG VINTAGE ROSE PAISLEY,1950.0,5097.53,373.0,213.0,-42.9,5054.63
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1441.0,3024.1400000000003,250.0,147.0,-4.2,3019.9400000000005
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1063.0,6277.16,383.0,164.0,-117.32000000000001,6159.84
22279,POCKET BAG BLUE PAISLEY RED SPOT,1443.0,2108.37,214.0,108.0,-46.25,2062.12
22280,POCKET BAG PINK PAISELY BROWN SPOT,880.0,1252.49,158.0,79.0,0.0,1252.49
22281,EASTER TREE YELLOW BIRDS,511.0,3285.86,149.0,83.0,-95.2,3190.6600000000003
22282,12 EGG HOUSE PAINTED WOOD,565.0,7406.65,216.0,92.0,-25.5,7381.15
22283,6 EGG HOUSE PAINTED WOOD,1042.0,8628.95,382.0,196.0,-143.1,8485.85
